LGA_Name,State,Latitude,Longitude,mean_nightlight_intensity,MPI,Headcount_Ratio,Intensity_of_Deprivation,In_Severe_Poverty,population_density,health_facility_count,school_count,road_density_km,ndvi_mean,rainfall_mm,idp_count,food_price_index,composite_poverty_score,cluster,cluster_label,risk_level
Toungo,Adamawa,8.11666667,12.05,0.00011126141317040921,0.182,39.0971,46.545,15.2143,122.39986289753736,54.0,295.0,0.51,0.41993727304068706,1746.4700017647324,581.0,0.0,0.1820627,1,High Risk - Severe Poverty,High
Yola North,Adamawa,9.188528,12.393866,2.136447546810939,0.182,39.0971,46.545,15.2143,122.39986289753733,76.0,295.0,0.51,0.35750950296954276,959.6985856378321,10517.0,0.0,0.1817445,1,High Risk - Severe Poverty,High
Yola South,Adamawa,9.249949,12.412618,0.06308698795171966,0.182,39.0971,46.545,15.2143,122.39986289753735,79.0,295.0,0.51,0.4778415713590441,1751.0454483324709,25004.0,0.0,0.18187551,1,High Risk - Severe Poverty,High
Abak,Akwa Ibom,4.98333333,7.78333333,0.007079344777208356,0.0446,9.8074,45.428,3.6118,725.2186325441292,32.0,133.0,1.7806,0.3623591100356984,1356.447928028332,0.0,0.0,0.043997448,1,High Risk - Severe Poverty,High
Eastern Obolo,Akwa Ibom,4.533333,7.7,2.7638643936236553,0.0446,9.8074,45.428,3.6118,725.2186325441292,12.0,133.0,1.7806,0.34882485380356554,1018.6908162809987,0.0,0.0,0.0442306,1,High Risk - Severe Poverty,High
Eket,Akwa Ibom,4.65,7.93333333,0.3405788184852433,0.0446,9.8074,45.428,3.6118,725.2186325441292,52.0,133.0,1.7806,0.3848262046876015,953.8925995296083,0.0,0.0,0.04432768,1,High Risk - Severe Poverty,High
Esit Eket,Akwa Ibom,4.66055556,8.06666667,1.0973965056226036,0.0446,9.8074,45.428,3.6118,725.2186325441292,22.0,133.0,1.7806,0.3592028166225423,1012.8719518074938,0.0,0.0,0.044355184,1,High Risk - Severe Poverty,High
Essien Udim,Akwa Ibom,5.13333333,7.68333333,0.011671569301072219,0.0446,9.8074,45.428,3.6118,725.2186325441292,36.0,133.0,1.7806,0.30975270114471026,1128.1402283537718,0.0,0.0,0.04525164,1,High Risk - Severe Poverty,High
Etim Ekpo,Akwa Ibom,5.01666667,7.61666667,0.0007564532554755777,0.0446,9.8074,45.428,3.6118,725.2186325441292,21.0,133.0,1.7806,0.36491436025361457,1025.3671139047897,0.0,0.0,0.04376663,1,High Risk - Severe Poverty,High
Etinan,Akwa Ibom,4.85,7.83333333,0.007957621389984066,0.0446,9.8074,45.428,3.6118,725.2186325441292,26.0,133.0,1.7806,0.34021241022626325,874.8242558995228,0.0,0.0,0.045589257,1,High Risk - Severe Poverty,High
Ibeno,Akwa Ibom,4.568693,7.976396,5.116144685896616,0.0446,9.8074,45.428,3.6118,725.2186325441292,22.0,133.0,1.7806,0.3592028166225423,1012.8719518074938,0.0,0.0,0.044399135,1,High Risk - Severe Poverty,High
Ibesikpo Asutan,Akwa Ibom,4.76666667,7.95,0.22248232014038982,0.0446,9.8074,45.428,3.6118,725.2186325441292,39.0,133.0,1.7806,0.41643441577637885,1110.5393964716984,0.0,0.0,0.04390624,1,High Risk - Severe Poverty,High
Ibiono Ibom,Akwa Ibom,5.23333333,7.88333333,0.023500138823699234,0.0446,9.8074,45.428,3.6118,725.2186325441292,37.0,133.0,1.7806,0.3783423981084253,1077.8182680944471,0.0,0.0,0.04462635,1,High Risk - Severe Poverty,High
Ika,Akwa Ibom,5.01666667,7.53333333,0.0,0.0446,9.8074,45.428,3.6118,725.2186325441292,23.0,133.0,1.7806,0.3958445917153093,1257.4117527864546,0.0,0.0,0.04757818,1,High Risk - Severe Poverty,High
Ikono,Akwa Ibom,5.210278,7.793889,0.0037379343601468946,0.0446,9.8074,45.428,3.6118,725.2186325441292,30.0,133.0,1.7806,0.3779855007469918,1039.5931671614744,0.0,0.0,0.043799084,1,High Risk - Severe Poverty,High
Ikot Abasi,Akwa Ibom,4.633333,7.65,0.07520938639539522,0.0446,9.8074,45.428,3.6118,725.2186325441292,37.0,133.0,1.7806,0.41752701163472294,818.8344464836644,0.0,0.0,0.043932803,1,High Risk - Severe Poverty,High
Ikot Ekpene,Akwa Ibom,5.18333333,7.71666667,0.13623470447593922,0.0446,9.8074,45.428,3.6118,725.218632544129,45.0,133.0,1.7806,0.3781798886558224,1073.570919773415,0.0,0.0,0.04444862,1,High Risk - Severe Poverty,High
Ini,Akwa Ibom,5.4,7.733333,0.003060309828737144,0.0446,9.8074,45.428,3.6118,725.2186325441292,26.0,133.0,1.7806,0.3687701283816247,937.3000663860015,0.0,0.0,0.044245604,1,High Risk - Severe Poverty,High
Itu,Akwa Ibom,5.16666667,7.98333333,0.14642041656281535,0.0446,9.8074,45.428,3.6118,725.2186325441292,21.0,133.0,1.7806,0.3592028166225423,1012.8719518074938,0.0,0.0,0.044355184,1,High Risk - Severe Poverty,High
Mbo,Akwa Ibom,4.65,8.23333333,0.0777160587736503,0.0446,9.8074,45.428,3.6118,725.218632544129,25.0,133.0,1.7806,0.41630489251921665,1051.6905224185873,0.0,0.0,0.058761094,1,High Risk - Severe Poverty,High
Mkpat Enin,Akwa Ibom,4.73361111,7.74861111,0.012363958809589605,0.0446,9.8074,45.428,3.6118,725.2186325441292,34.0,133.0,1.7806,0.38164493558130086,1066.5632376718572,0.0,0.0,0.04462843,1,High Risk - Severe Poverty,High
