LGA_Name,State,Latitude,Longitude,Cluster_Label,Risk_Level
Sabon Gari,Kaduna,11.1167,7.73333,0,High
Sanga,Kaduna,9.225183,8.459182,0,High
Soba,Kaduna,10.984935,8.058804,0,High
Zangon Kataf,Kaduna,9.784597,8.283949,0,High
Zaria,Kaduna,11.06666667,7.7,0,High
Ajingi,Kano,11.97,9.03916667,0,High
Albasu,Kano,11.67388889,9.14111111,0,High
Bagwai,Kano,12.15777778,8.13583333,0,High
Bebeji,Kano,11.66666667,8.26666667,0,High
Bichi,Kano,12.23416667,8.24111111,0,High
Bunkure,Kano,11.7,8.55,0,High
Dala,Kano,12.01666667,8.48333333,0,High
Dambatta,Kano,12.43305556,8.51527778,0,High
Dawakin Kudu,Kano,11.83472222,8.59805556,0,High
Dawakin Tofa,Kano,12.10277778,8.33138889,0,High
Doguwa,Kano,10.75,8.73333333,0,High
Fagge,Kano,12.00666667,8.52916667,0,High
Gabasawa,Kano,12.1,8.88333333,0,High
Garko,Kano,11.65,8.9,0,High
Garun Malam,Kano,11.6833,8.36667,0,High
Gaya,Kano,11.86805556,9.01111111,0,High
Gezawa,Kano,12.1,8.73333333,0,High
Gwale,Kano,11.96666667,8.5,0,High
Gwarzo,Kano,11.91666667,7.93333333,0,High
Kabo,Kano,11.89146325,8.200628471157401,0,High
Kano Municipal,Kano,11.95194444,8.54027778,0,High
Karaye,Kano,11.78333333,8.01666667,0,High
Kibiya,Kano,11.53333333,8.66666667,0,High
Kiru,Kano,11.7,8.13333333,0,High
Kunchi,Kano,12.50138889,8.27166667,0,High
Kura,Kano,11.77138889,8.43027778,0,High
Madobi,Kano,11.77722222,8.28833333,0,High
Makoda,Kano,12.41861111,8.4325,0,High
Minjibir,Kano,12.17833333,8.65916667,0,High
Nasarawa,Kano,8.53333333,8.3,0,High
Rano,Kano,11.55722222,8.58333333,0,High
Rimin Gado,Kano,11.965,8.25,0,High
Rogo,Kano,11.56666667,7.83333333,0,High
Shanono,Kano,12.05,7.98333333,0,High
Sumaila,Kano,11.53333333,8.96666667,0,High
Takai,Kano,11.4853125,9.156044842198048,0,High
Tarauni,Kano,11.96666667,8.56666667,0,High
Tofa,Kano,12.05,8.26666667,0,High
Tsanyawa,Kano,12.3,7.98333333,0,High
Tudun Wada,Kano,11.25,8.4,0,High
Ungogo,Kano,12.09055556,8.49666667,0,High
Warawa,Kano,11.88333333,8.68333333,0,High
Wudil,Kano,11.81666667,8.85,0,High
kumbotso,Kano,11.88805556,8.50277778,0,High
Bakori,Katsina,11.55,7.43333333,0,High
Batagarawa,Katsina,12.9,7.61666667,0,High
Batsari,Katsina,12.75277778,7.24194444,0,High
Baure,Katsina,12.78333333,8.76666667,0,High
Bindawa,Katsina,12.71666667,7.83333333,0,High
Charanchi,Katsina,12.675,7.7275,0,High
Dan Musa,Katsina,12.26388889,7.33388889,0,High
DanDume,Katsina,11.41666667,7.2,0,High
Danja,Katsina,11.38333333,7.56666667,0,High
Daura,Katsina,13.03638889,8.31777778,0,High
Dutsi,Katsina,12.82527778,8.14277778,0,High
Dutsin-Ma,Katsina,12.455,7.49138889,0,High
Faskari,Katsina,11.71666667,7.03333333,0,High
Funtua,Katsina,11.53333333,7.31666667,0,High
Ingawa,Katsina,12.63972222,8.05027778,0,High
Jibia,Katsina,13.09166667,7.22638889,0,High
Kafur,Katsina,11.65,7.7,0,High
Kaita,Katsina,13.08055556,7.75388889,0,High
Kankara,Katsina,11.930319,7.412649,0,High
Kankia,Katsina,12.46666667,7.8,0,High
Katsina,Katsina,12.98888889,7.60083333,0,High
Kurfi,Katsina,12.66611111,7.48305556,0,High
Kusada,Katsina,12.46666667,7.98333333,0,High
Mai'Adua,Katsina,13.19055556,8.21166667,0,High
Malumfashi,Katsina,11.8,7.61666667,0,High
Mani,Katsina,12.85611111,7.87444444,0,High
Mashi,Katsina,13.1,8.0,0,High
Matazu,Katsina,12.2333,7.66667,0,High
Musawa,Katsina,12.12944444,7.66888889,0,High
Rimi,Katsina,12.85,7.71555556,0,High
Sabuwa,Katsina,11.3,7.11666667,0,High
Safana,Katsina,12.5,7.23333333,0,High
Sandamu,Katsina,12.93333333,8.36666667,0,High
Zango,Katsina,12.93333333,8.53333333,0,High
Aliero,Kebbi,12.29654,4.42793,0,High
Arewa Dandi,Kebbi,12.688388,4.074184,0,High
Argungu,Kebbi,12.73333333,4.51666667,0,High
Augie,Kebbi,12.88333333,4.6,0,High
Bagudo,Kebbi,11.400095,4.225767,0,High
Birnin Kebbi,Kebbi,12.45361111,4.20027778,0,High
Bunza,Kebbi,12.0916,4.0108,0,High
Dandi,Kebbi,12.68333333,8.66666667,0,High
Danko-Wasagu,Kebbi,11.395688,5.485568,0,High
Fakai,Kebbi,11.547523,4.96493,0,High
Gwandu,Kebbi,12.50222222,4.6425,0,High
Jega,Kebbi,12.3667,4.6333,0,High
Kalgo,Kebbi,12.33257,4.20035,0,High
Koko/Besse,Kebbi,11.45855,4.43782,0,High
Maiyama,Kebbi,11.99054,4.35394,0,High
Ngaski,Kebbi,10.40709,4.71781,0,High
Sakaba,Kebbi,11.065401,5.596032,0,High
Shanga,Kebbi,11.1958,4.5675,0,High
Suru,Kebbi,11.83,4.096667,0,High
Yauri,Kebbi,11.395688,5.485568,0,High
Zuru,Kebbi,11.435,5.235,0,High
Adavi,Kogi,7.66666667,6.45,0,High
Ajaokuta,Kogi,7.55611111,6.655,0,High
Ankpa,Kogi,7.43333333,7.63333333,0,High
Bassa,Kogi,7.9,7.05,0,High
Dekina,Kogi,7.58333333,7.2,0,High
Ibaji,Kogi,6.86666667,6.8,0,High
Idah,Kogi,7.08333333,6.75,0,High
Igalamela Odolu,Kogi,7.08333333,7.08333333,0,High
Ijumu,Kogi,7.85,5.96666667,0,High
Kabba/Bunu,Kogi,8.11666667,6.15,0,High
Kogi,Kogi,7.5,6.7,0,High
Lokoja,Kogi,7.80194444,6.74416667,0,High
Mopa-Muro,Kogi,8.09722222,5.89583333,0,High
Ofu,Kogi,7.33333333,7.08333333,0,High
Ogori/Magongo,Kogi,7.483333,6.216667,0,High
Okehi,Kogi,7.7,6.3,0,High
Okene,Kogi,7.55,6.23333333,0,High
Olamaboro,Kogi,7.18333,7.56667,0,High
Omala,Kogi,7.81666667,7.51666667,0,High
Yagba East,Kogi,8.16666667,5.7,0,High
Yagba West,Kogi,8.25,5.55,0,High
Asa,Kwara,8.324804,4.533673,0,High
Baruten,Kwara,9.58333333,3.25,0,High
Edu,Kwara,8.841903,5.399178,0,High
Ekiti,Kwara,8.139435,5.32809,0,High
Ifelodun,Kwara,8.820023,4.967322,0,High
Ilorin East,Kwara,8.573234,4.703608,0,High
Ilorin South,Kwara,8.498688,4.562779,0,High
Ilorin West,Kwara,8.480048,4.614006,0,High
Irepodun,Kwara,8.487457,4.527301,0,High
Isin,Kwara,8.2579064,5.038849070678933,0,High
Kaiama,Kwara,9.605193,3.941946,0,High
Moro,Kwara,8.845,4.556667,0,High
Offa,Kwara,8.147,4.72,0,High
Oke-Ero,Kwara,8.088888,5.144659,0,High
Oyun,Kwara,8.16827,4.65212,0,High
Pategi,Kwara,8.73333333,5.75,0,High
Agege,Lagos,6.62194444,3.32583333,0,High
Ajeromi-Ifelodun,Lagos,6.4448,3.3339,0,High
Alimosho,Lagos,6.61055556,3.29583333,0,High
Amuwo-Odofin,Lagos,6.45,3.266667,0,High
Apapa,Lagos,6.45,3.36666667,0,High
Badagry,Lagos,6.41666667,2.88333333,0,High
Epe,Lagos,6.58333333,3.98333333,0,High
Eti-Osa,Lagos,6.437443,3.564588,0,High
Ibeju-Lekki,Lagos,6.416667,2.883333,0,High
Ifako-Ijaiye,Lagos,6.68472222,3.28888889,0,High
Ikeja,Lagos,6.6,3.35,0,High
Ikorodu,Lagos,6.6,3.5,0,High
Kosofe,Lagos,6.556879,3.384174,0,High
Lagos Island,Lagos,6.45,3.4,0,High
Lagos Mainland,Lagos,6.504937,3.386503,0,High
Mushin,Lagos,6.53333333,3.35,0,High
Ojo,Lagos,6.46666667,3.18333333,0,High
Oshodi-Isolo,Lagos,6.511865,3.308021,0,High
Somolu,Lagos,6.540833,3.387222,0,High
Surulere,Lagos,6.5,3.35,0,High
Akwanga,Nasarawa,8.91666667,8.38333333,0,High
Awe,Nasarawa,7.823611,3.95,0,High
Doma,Nasarawa,8.396241,8.35864,0,High
Karu,Nasarawa,9.019231,7.613516,0,High
Keana,Nasarawa,8.147346,8.800478,0,High
Keffi,Nasarawa,8.8464,7.8733,0,High
Kokona,Nasarawa,8.85,5.08333333,0,High
Lafia,Nasarawa,8.49166667,8.51666667,0,High
Nasarawa,Nasarawa,8.53333333,8.3,0,High
Nasarawa Egon,Nasarawa,8.741115,8.542192,0,High
Obi,Nasarawa,7.0,8.25,0,High
